       LastLine: 1 2  AI2_of_Player1_win  AI2_of_Player2_win
   ScoreLine(01,02):        138                    115
   ScoreLine(01,03):        139                    114
   ScoreLine(01,04):        140                    113
   ScoreLine(01,05):        143                    110
   ScoreLine(01,06):        139                    114
   ScoreLine(01,07):        142                    111
   ScoreLine(01,08):        145                    108
   ScoreLine(01,09):        136                    117
    ScoreLine(01,10)        146                    107
    ScoreLine(01,11)        139                    114
    ScoreLine(01,12)        140                    113
    ScoreLine(01,13)        143                    110
    ScoreLine(01,14)        143                    110
    ScoreLine(01,15)        138                    115
    ScoreLine(01,16)        139                    114
    ScoreLine(01,17)        138                    115
    ScoreLine(01,18)        147                    106
    ScoreLine(01,19)        141                    112
    ScoreLine(01,20)        138                    115
    ScoreLine(01,21)        142                    111
    ScoreLine(01,22)        140                    113
    ScoreLine(01,23)        145                    108
    ScoreLine(01,24)        139                    114
    ScoreLine(01,25)         81                     64
end
